#$t^s_{DeepFRi}$  $t^e_{DeepFRi}$  DicFR_o/p  
2008-12-04 	14:29:57	2008-12-05 	15:54:57	0
2008-12-22 	07:28:26	2008-12-23 	08:53:26	1
2009-03-11 	18:11:57	2009-03-12 	20:37:57	0
2009-04-15 	15:50:45	2009-04-16 	18:16:45	0
2009-06-27 	16:41:21	2009-06-28 	18:06:21	0
2009-07-21 	08:57:55	2009-07-22 	21:33:55	1
2009-10-28 	18:49:36	2009-10-29 	22:16:36	0
2009-11-14 	04:35:02	2009-11-15 	07:01:02	0
2010-01-01 	23:56:02	2010-01-03 	01:21:02	0
2010-02-07 	21:21:24	2010-02-08 	23:47:24	0
2010-02-10 	10:05:16	2010-02-15 	12:05:16	1
2010-02-19 	10:07:21	2010-02-21 	13:58:21	0
2010-04-05 	17:40:36	2010-04-06 	19:05:36	0
2010-04-10 	22:37:09	2010-04-12 	00:02:09	0
2010-05-18 	04:52:33	2010-05-19 	07:18:33	0
2010-05-28 	18:51:52	2010-05-29 	21:17:52	1
2010-06-21 	04:59:48	2010-06-22 	07:25:48	0
2010-07-15 	05:32:16	2010-07-16 	06:57:16	0
2010-07-23 	08:06:45	2010-07-24 	10:32:45	0
2010-09-01 	00:24:38	2010-09-02 	02:50:38	0
2010-09-15 	04:22:43	2010-09-16 	05:47:43	0
2010-10-05 	10:43:38	2010-10-06 	12:08:38	0
2010-10-31 	22:39:38	2010-11-02 	01:05:38	0
2011-01-24 	17:16:14	2011-01-25 	18:41:14	0
2011-02-01 	05:33:38	2011-02-02 	06:58:38	0
2011-02-19 	02:32:36	2011-02-20 	03:57:36	0
2011-03-10 	09:24:21	2011-03-11 	10:49:21	1
2011-03-23 	23:04:02	2011-03-25 	01:30:02	0
2011-03-29 	23:24:00	2011-04-01 	02:14:00	0
2011-04-23 	09:08:33	2011-04-24 	14:37:33	0
2011-05-14 	07:57:48	2011-05-15 	12:25:48	0
2011-05-20 	22:41:00	2011-05-22 	01:07:00	0
2011-06-30 	07:24:07	2011-07-01 	08:49:07	1
2011-07-02 	17:37:50	2011-07-04 	16:23:50	0
2011-07-18 	07:30:55	2011-07-19 	09:56:55	0
2011-07-29 	08:43:00	2011-07-30 	10:08:00	0
2011-09-03 	13:05:26	2011-09-04 	14:30:26	0
2011-10-05 	17:09:52	2011-10-06 	19:35:52	0
2011-11-12 	19:36:40	2011-11-13 	21:01:40	0
2012-01-21 	00:11:50	2012-01-22 	01:36:50	0
2012-01-23 	01:21:50	2012-01-24 	03:47:50	0
2012-01-31 	18:16:28	2012-02-01 	19:41:28	0
2012-02-14 	22:14:33	2012-02-16 	00:40:33	1
2012-02-27 	23:33:00	2012-02-29 	16:13:00	1
2012-03-12 	21:24:38	2012-03-13 	23:50:38	0
2012-03-30 	17:23:02	2012-03-31 	20:50:02	0
2012-04-05 	19:50:16	2012-04-06 	21:15:16	0
2012-04-20 	16:11:24	2012-04-21 	18:37:24	0
2012-05-04 	06:49:26	2012-05-05 	11:17:26	0
2012-05-06 	13:05:45	2012-05-07 	15:31:45	0
2012-05-16 	18:51:48	2012-05-17 	21:17:48	0
2012-06-01 	07:08:19	2012-06-02 	09:34:19	0
2012-06-11 	11:50:16	2012-06-12 	13:15:16	1
2012-06-16 	13:45:09	2012-06-17 	15:10:09	1
2012-06-24 	19:23:31	2012-06-25 	21:49:31	0
2012-07-04 	20:58:31	2012-07-05 	22:23:31	0
2012-07-06 	15:02:24	2012-07-07 	17:28:24	1
2012-07-09 	00:21:16	2012-07-10 	02:47:16	1
2012-07-15 	16:02:50	2012-07-16 	18:28:50	1
2012-07-30 	18:33:55	2012-07-31 	20:59:55	0
2012-09-01 	18:05:16	2012-09-02 	20:31:16	0
2012-09-06 	09:44:26	2012-09-07 	12:10:26	0
2012-09-25 	11:26:48	2012-09-26 	13:52:48	0
2012-09-30 	20:29:07	2012-10-01 	22:55:07	1
2012-10-06 	09:33:14	2012-10-09 	13:48:14	1
2012-10-12 	06:58:33	2012-10-13 	09:24:33	1
2012-11-01 	08:10:04	2012-11-02 	10:36:04	1
2012-11-13 	05:54:55	2012-11-14 	08:20:55	1
2012-11-24 	10:12:12	2012-11-25 	11:37:12	0
2012-12-02 	04:31:12	2012-12-03 	18:08:12	0
2012-12-14 	06:21:21	2012-12-15 	07:46:21	0
2013-01-17 	13:41:19	2013-01-18 	16:07:19	1
2013-03-18 	01:00:00	2013-03-19 	05:28:00	0
2013-04-30 	00:09:38	2013-05-01 	07:40:38	0
2013-06-06 	19:28:33	2013-06-07 	20:53:33	1
2013-06-19 	08:33:40	2013-06-20 	09:58:40	0
2013-06-28 	04:26:28	2013-06-29 	05:51:28	1
2013-07-05 	14:37:55	2013-07-07 	13:23:55	1
2013-07-08 	20:25:36	2013-07-10 	16:08:36	1
2013-07-13 	07:58:33	2013-07-14 	23:37:33	1
2013-12-01 	06:09:36	2013-12-03 	08:59:36	0
2013-12-14 	21:54:21	2013-12-15 	23:19:21	0
2013-12-26 	14:29:21	2013-12-27 	16:55:21	0
2014-01-13 	05:14:45	2014-01-14 	07:40:45	0
2014-01-27 	23:31:40	2014-01-29 	00:56:40	0
2014-02-04 	10:45:00	2014-02-05 	12:10:00	0
2014-02-12 	16:21:36	2014-02-14 	06:59:36	0
2014-02-16 	16:40:28	2014-02-17 	18:05:28	0
2014-02-20 	10:40:09	2014-02-21 	18:11:09	0
2014-03-21 	22:21:21	2014-03-23 	00:47:21	0
2014-04-06 	01:51:14	2014-04-07 	04:17:14	0
2014-04-11 	17:00:00	2014-04-12 	20:27:00	1
2014-04-18 	18:38:12	2014-04-19 	20:03:12	0
2014-04-30 	02:00:14	2014-05-01 	03:25:14	1
2014-05-03 	07:51:52	2014-05-04 	09:16:52	1
2014-05-30 	22:18:43	2014-06-01 	13:57:43	0
2014-07-07 	23:44:31	2014-07-09 	02:10:31	0
2014-07-13 	14:31:07	2014-07-14 	15:56:07	0
2014-07-31 	22:53:50	2014-08-02 	00:18:50	1
2014-08-17 	00:55:24	2014-08-19 	00:42:24	0
2014-08-20 	02:36:26	2014-08-21 	08:05:26	0
2014-08-26 	22:30:21	2014-08-28 	20:15:21	1
2014-09-07 	09:57:43	2014-09-08 	12:23:43	0
2014-09-12 	18:53:26	2014-09-15 	16:01:26	1
2014-09-17 	00:19:57	2014-09-18 	01:44:57	0
2014-10-03 	19:48:12	2014-10-04 	22:14:12	0
2014-10-09 	11:00:02	2014-10-10 	12:25:02	0
2014-10-12 	09:38:31	2014-10-13 	12:04:31	0
2014-10-18 	22:18:24	2014-10-20 	05:49:24	0
